scheme_id,scheme_name,cropType,cropName,waterAvailability,annualIncome,region,district,farmSize
1,National Food Security Mission (NFSM),Pulses,Urad(Black Gram),Yes,NA,"Pune, Aurangabad","Solapur, Osmanabad, Latur, Beed, Nanded, Aurangabad",NA
2,Cashew Development Program,Cashew,Cashew,Yes,NA,"Kokan, Pune, Aurangabad, Nashik","Pune, Jalgaon, Ratnagiri, Sindhudurg, Aurangabad",NA
3,National Horticulture Mission (NHM),Fruits,Mango,Yes,NA,"Kokan, Nashik, Nagpur","Raigad, Ratnagiri, Sindhudurg",NA
4,Integrated Cereals Development Programme,Cereals,Paddy and Wheat,Yes,NA,"Kokan, Nashik, Nagpur, Pune, Aurangabad",NA,NA
5,"Integrated scheme on Oilseeds, Pulses, Oilpalm and Maize(ISOPOM) Oilseeds, ",Oilpalm,Oilpalm,Yes,NA,Kokan,"Ratnagiri, Sindhudurg, Thane",NA
6,Oil palm area expansion programme (RKVY),Oilpalm ,Oilpalm,Yes,NA,Kokan,"Ratnagiri, Sindhudurg, Thane",NA
7,Intensive for Nutritional Security through Intensive Millets Promotion (INSIMP),Cereals,Bajra (Pearl Millet),Yes,NA,"Kokan, Nashik, Nagpur, Pune, Aurangabad",NA,NA
8,Centrally sponsored Sugar cane development scheme,Cash Crops,Sugarcane,Yes,NA,"Kokan, Nashik, Nagpur, Pune, Aurangabad",NA,NA
9,Oilseed Production Programme,Oilseeds,Soybean,Yes,NA,"Nashik, Nagpur, Amravati","Amravati, Akola, Buldhana, Washim, Yavatmal, Nagpur, Wardha",NA
10,Cotton Technology Mission,Cash Crops,Cotton,Yes,NA,"Kokan, Nashik, Nagpur, Pune, Aurangabad",NA,NA
11,Oilseed Production Programme,Oilseeds,Groundnut(Peanut),Yes,NA,"Nashik, Pune, Aurangabad","Ahmednagar, Jalgaon, Sangli, Satara, Solapur,Osmanabad, Latur",NA
12,Oilseed Production Programme,Oilseeds,Sunflower,Yes,NA,"Nashik, Pune","Ahmednagar, Pune, Nashik, Solapur",NA
13,Oilseed Production Programme,Oilseeds,Sesame(Til),Yes,NA,Aurangabad,"Beed, Osmanabad, Latur, Jalna, Parbhani, Nanded",NA
14,Oilseed Production Programme,Oilseeds,Mustard,Yes,NA,"Nashik, Amravati","Nandurbar, Dhule, Jalgaon, Buldhana, Washim, Yavatmal",NA
15,"Integrated scheme on Oilseeds, Pulses, Oilpalm and Maize(ISOPOM) Oilseeds, ",Oilseeds,Soybean,Yes,NA,"Nashik, Nagpur, Amravati","Amravati, Akola, Buldhana, Washim, Yavatmal, Nagpur, Wardha",NA
16,"Integrated scheme on Oilseeds, Pulses, Oilpalm and Maize(ISOPOM) Oilseeds, ",Oilseeds,Groundnut(Peanut),Yes,NA,"Nashik, Pune, Aurangabad","Ahmednagar, Jalgaon, Sangli, Satara, Solapur,Osmanabad, Latur",NA
